brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
Mezza Lebanese Kitchen,"Lebanese,Grills,Healthy",Very good,51,3.00,10.00,
"Doner Afendi, Al Barsha South","Turkish,Arabic,Sandwiches",Good,45,6.00,40.00,
Defne Turkish Restaurant,"Grills,Turkish,Shawarma & Doner",Very good,45,6.00,35.00,
Hummus Brothers,"Healthy,Sandwiches,Arabic",Very good,54,7.00,10.00,
"Kaakunada, Dubai Media City","Arabic,Breakfast,Lebanese",Very good,55,7.00,10.00,
Shawarma Grill House,"Shawarma & Doner,Sandwiches",Very good,45,5.00,30.00,
THRIVE SALADS,"Healthy,Sandwiches,Salads",Good,53,7.00,10.00,
Potato Head,"American,Burgers,Sandwiches",Good,56,5.00,10.00,New
"Super Bowl Asian Cafe, Jumeirah Lakes Towers - JLT","Asian,Chinese,Japanese",Good,57,5.00,10.00,
"Wokman, Jumeirah Lakes Towers","Chinese,Indian,Asian",OK,51,5.00,10.00,
Chick N Co,"American,Burgers,Sandwiches",Good,59,5.00,10.00,
Cadourat And Funoon Promotional Gifts Preparing,Flowers,Good,60,Free,150.00,New
Chinese Palace Restaurant,"Chinese,Asian",Very good,54,7.00,10.00,
"Subway, JLT","Sandwiches,Breakfast,Healthy",Good,44,3.00,10.00,
Breakfast Fix,"Sandwiches,Breakfast,Desserts",Very good,53,7.00,10.00,
Spice Pot,"Chinese,Indian,Asian",Good,51,3.00,10.00,
Chillis,"American,Burgers,Mexican",Good,51,7.00,10.00,
Project Shawarma,"Grills,Arabic,Shawarma & Doner",,50,7.00,10.00,
Katsu And Co,"Asian,Healthy,Japanese",Very good,54,7.00,10.00,
"Fuel Up by Kcal, Jumeirah Lakes Towers - JLT","Breakfast,Healthy,Sandwiches",Good,49,3.00,10.00,
Karakoy Gourmet,"Grocery,Supermarket",Very good,45,5.00,10.00,
Le Duetto,"Lebanese,Arabic,Shawarma & Doner",Very good,56,7.00,10.00,
Pokai,"Seafood,Salads,Healthy",Good,52,7.00,10.00,
"Papa John's, Jumeirah Lake Towers","American,Pizza",Good,45,7.00,0.00,
Yalla Shawarma,"Shawarma & Doner,Arabic",Good,56,7.00,10.00,
"Yugo Restaurant, JLT","Japanese,Seafood,Asian",Very good,54,Free,0.00,
Betty Bakes,"Specialty Store,Bakery,Desserts",Good,60,Free,0.00,
Craft Burger,"Burgers,Sandwiches",Very good,45,6.00,0.00,
Burger And Beyond,"American,Burgers,International",Good,50,5.00,10.00,
Fern El Balad,"Arabic,Lebanese,Sandwiches",Good,55,7.00,10.00,
Alien Burger,"Burgers,American",Good,51,7.00,10.00,
Lounge Cafe Italiano,"Italian,Pizza,Breakfast",Good,54,5.00,10.00,
Shaikh Al Mandi Restaurant,"Mandi,Arabic",Very good,45,3.00,35.00,
"Popeyes Louisiana Kitchen Restaurant, Dubai Media City,Dubai Media City","Sandwiches,American",Very good,53,7.00,10.00,
Kaak Al Manara Bakery & Eatery,"Arabic,Healthy,Lebanese",Very good,55,7.00,10.00,
Health First Pharmacy,Pharmacy,Very good,51,7.00,10.00,
"Plant Power, Dubai Marina","Healthy,Asian,Salads",Very good,50,7.00,10.00,
"Oakberry Acai Bowls, Jumeirah Lakes Towers - JLT","Desserts,Healthy,Vegetarian",Very good,46,3.00,10.00,
"Krave, Barsha Height - TECOM","Breakfast,Healthy,International",Very good,58,7.00,10.00,
Chop House,"Grills,Healthy",OK,51,3.00,10.00,
ChickInn,Grills,Good,52,7.00,10.00,
Million Pizza,"Italian,Pizza,Sandwiches",,52,7.00,10.00,
"Chicken Tikka Inn, Jumeirah Lakes Towers - JLT","Indian,Pakistani",Good,57,5.00,10.00,
SOUP & SOUL,Soups,Very good,54,7.00,10.00,
Cluckrs,"American,Fast Food,Fried Chicken",OK,54,7.00,10.00,
The Cheese Bun Spot,"Breakfast,Desserts,Bakery and Cakes",OK,59,5.00,10.00,
Ucci Sushi Restaurant,"Japanese,Seafood,Asian",Good,54,7.00,10.00,
The Selfish Bull,"Seafood,Grills",OK,54,7.00,10.00,
Boots Pharmacy,Pharmacy,Amazing,54,7.00,10.00,
Pizzeria del Marco,"Pizza,International,Italian",Very good,55,3.00,10.00,
Cucina Mia Restaurant,"Italian,Pizza",Good,54,7.00,10.00,
Chicken Street,"American,Grills,Indian",,54,5.00,10.00,
"PizzaExpress, Jumeirah Lakes Towers - JLT","Italian,Pizza",Good,50,3.00,10.00,
Shamiana,Indian,,55,3.00,10.00,
After Room Cafe & Restaurant,"International,Arabic,Italian",Good,51,7.00,10.00,
GK Chicken Restaurant,"American,Grills",Very good,54,5.00,10.00,
Zafran,Indian,Very good,58,7.00,10.00,
The Noodle House,"Asian,Chinese,Thai",Good,48,7.00,10.00,
Kababji Grill Restaurant,"Lebanese,Sandwiches,Arabic",Good,51,Free,10.00,
"Pop City,Barsha Heights - TECOM","Specialty Store,Cakes and Desserts,Frozen Yogurt",Amazing,49,9.00,10.00,
Cinnabon,"Desserts,Cafe",Very good,51,5.00,10.00,
Memsaab Curry & Tandoor,"Indian,Pakistani,Asian",Very good,50,5.00,10.00,
Wise Kwai,"Asian,Seafood,Thai",Very good,57,7.00,10.00,
Tossed & Toast - Salads & More,Healthy,Amazing,57,7.00,10.00,
Pasta Broz,"Italian,Pizza",,51,7.00,10.00,
Mandi Al Sultan,"Arabic,Mandi",Good,52,5.00,10.00,
Ahla Tallah Restaurant & Cafe,"Arabic,Combo,Breakfast",OK,50,5.00,10.00,
Madrasi Food House,"Indian,Vegetarian",OK,43,5.00,10.00,
Rice Factory,"Pakistani,Indian",Good,53,5.00,10.00,
Nais Italian Kitchen,"Italian,Pizza",Good,52,5.00,10.00,
Crazy Over Acai,"Healthy,Desserts",OK,49,3.00,10.00,
"Tim Hortons, Jumeirah Beach Residence - JBR","Desserts,Sandwiches,Breakfast",Good,45,7.00,10.00,
Breaking Bread,"Healthy,Sandwiches,Breakfast",Very good,49,5.00,10.00,
"Burger King, Dubai Internet City - DIC","Burgers,Sandwiches,American",Very good,35,7.00,0.00,
Piadera,"Italian,Pizza,Wraps",Good,56,5.00,10.00,
"Doner Kebab, Jumeirah Lakes Towers","Turkish,Shawarma & Doner",Good,45,9.00,10.00,
Indian Pavilion,Indian,Very good,55,6.00,50.00,
"NomNom Asia, Jumeirah Lakes Towers - JLT","International,Asian,Chinese",Good,52,3.00,10.00,
ACAI XPRESS JLT,"Breakfast,Healthy,Vegetarian",Good,56,5.00,10.00,
"Al Safadi Restaurant, Um Al Sheif","International,Lebanese,Seafood",Very good,60,5.00,50.00,
Alpys Cafe & Restaurant,"Cafe,Mexican,Sandwiches",Good,56,7.00,10.00,
Eats and Co,"Breakfast,Healthy,International",OK,54,5.00,10.00,
"Makarem Restaurant, Al Barsha 3","Arabic,Mandi",Very good,56,7.00,10.00,
Slider Box,"Burgers,Sliders,American",Good,59,5.00,10.00,
Pink Imli- Indian Curry And Grill,"Indian,Asian,Healthy",Very good,53,5.00,10.00,
Pepper & Pine,"Breakfast,Healthy",Very good,57,7.00,10.00,
Taco Eataco,"Mexican,Bowls,Healthy",Very good,50,7.00,10.00,
"Cake Hut Sweets And Pastries, Al Barsha Mall,Al Barsha 1","Specialty Store,Cakes and Desserts,Bakery",Very good,50,Free,50.00,
"Pasta 2 Go, Jumeirah Lakes Towers","Italian,International,Desserts",Good,51,3.00,10.00,
Barbecue Delights,"International,Indian,Pakistani",Good,54,7.00,10.00,
Pizza Sixteen,Pizza,Very good,45,6.00,50.00,
Eggs & Co,"Breakfast,Healthy",OK,53,5.00,10.00,
Royal Orchid,"Thai,Asian",Very good,55,7.00,10.00,
The Roti Roll,"Fast Food,Indian,Pakistani",,55,7.00,10.00,New
Orchestra Flowers,Flowers,Very good,35,9.00,10.00,
The Acai Project,"Healthy,Bowls,Breakfast",Good,49,7.00,10.00,
Ananda Bhavan,"Indian,Vegetarian,Breakfast",Very good,51,3.00,10.00,
"Al Mallah, Ibn Battuta Mall","Arabic,Breakfast,Lebanese",Good,56,7.00,10.00,
Biryani Bae,"Fast Food,Indian,Pakistani",,55,5.00,10.00,New
Gulf Pastry,"Pizza,Breakfast,Lebanese",Good,45,6.00,50.00,
Humble Burgers,"Burgers,Sandwiches,Wings",OK,50,7.00,10.00,
Sushi Burrito by Ichiban,"Asian,Healthy,Japanese",OK,53,7.00,10.00,
Poke Zone Restaurant,"Bowls,Healthy,Japanese",Good,49,7.00,10.00,
Dia Flower,Flowers,Good,60,Free,0.00,
Sahelnom Restaurant,"Lebanese,Arabic,Healthy",Good,55,7.00,10.00,
Wings & Co by Broccoli Pizza & Pasta,"American,Grills,Salads",OK,52,5.00,10.00,
Soho Grill,"American,Burgers,Cafe",Very good,58,7.00,10.00,
Desi Food Hub,"Pakistani,Asian,Indian",Amazing,58,7.00,10.00,
Food Shack,"Burgers,Pizza,Shawarma & Doner",Good,54,5.00,10.00,
Movenpick Ice Cream,"Specialty Store,Ice Cream,Cakes and Desserts",,59,7.00,10.00,New
"Wendy's, Meadows","Burgers,Sandwiches,American",Very good,45,6.00,10.00,
Community Pharmacy,Pharmacy,,52,7.00,10.00,New
"Teriyaki Boy & Sizzlin` Steak, Al Barsha 3","Japanese,International",Amazing,59,9.00,10.00,New
Panchos,"Mexican,International",OK,56,5.00,10.00,
"Chimes, Jumeirah Lakes Towers - JLT","Chinese,Thai,Vegetarian",OK,50,5.00,10.00,
"Via Delhi Restaurant, Jumeirah Lakes Towers - JLT","Indian,Breakfast,Chinese",Very good,52,5.00,10.00,
Seven Pizzas,"Pizza,American",Good,55,6.00,50.00,
BBQ & Karahi Kitchen,"Grills,Indian",Good,55,5.00,10.00,
TPH Lakwil,"Asian,Seafood",,52,7.00,10.00,
FRYD: Fried Chicken,"Fried Chicken,American,Sandwiches",Good,57,7.00,10.00,
Doner Market Restaurant,"Shawarma & Doner,Burgers,Pizza",Good,50,7.00,10.00,
Desi Wings,"American,Indian,Asian",Good,45,6.00,0.00,
Top Picks,American,Good,57,7.00,10.00,
Maraheb Express,"Mandi,Arabic",Good,49,5.00,10.00,
Al Mallah Cafeteria,"Arabic,Breakfast,Lebanese",Good,40,7.00,25.00,
Fresh Fruit Pops by Fruitful Day,"Specialty Store,Ice Cream,Cakes and Desserts",Very good,50,9.00,10.00,
Tea Break,"Burgers,Sandwiches,Beverages",Very good,48,5.00,10.00,
Back To Grills Restaurant And Cafe,"American,Grills,Asian",Good,45,6.00,0.00,
"Oakberry Acai, Dubai Marina","Healthy,Vegetarian,Desserts",Good,54,7.00,10.00,
Asateer Sweets,"Specialty Store,Cakes and Desserts",Very good,54,7.00,0.00,
Halo Halo Restaurant,"Asian,Chinese,Indian",,52,7.00,10.00,
"Salad Station, Dubai Internet City","Healthy,Vegetarian",Very good,47,7.00,0.00,
Al Naseem,"Arabic,Lebanese",OK,53,7.00,10.00,
Something Italian,"Italian,Pasta,Soups",Good,49,7.00,10.00,
Bait Maryam,"Arabic,Breakfast,Lebanese",Very good,52,3.00,10.00,
Big Jaws,"Sandwiches,Salads,Bowls",Very good,55,5.00,10.00,
"Noon & Kabab, IBN Batutta Mall","Iranian,Arabic",Very good,58,7.00,10.00,
VegaBibi,"Arabic,Sandwiches",OK,56,7.00,10.00,
Mac & Wings,"American,Grills",,56,7.00,10.00,
"Texas Chicken, Meadows","American,Burgers,Sandwiches",Very good,51,9.00,10.00,
Generation Acai,"Healthy,Breakfast,Desserts",OK,47,7.00,10.00,
"Perfetto Salad,Jumeirah Lakes Towers - JLT","Healthy,Salads",Good,51,5.00,10.00,
"Dumpukht Biryani Restaurant, Jumeirah Lakes Towers - JLT","Indian,Pakistani",Good,55,5.00,10.00,
Mashrou3 Tabkha,"Lebanese,Arabic,Healthy",Very good,48,7.00,10.00,
"Wide Range, Discovery Gardens","Indian,Arabic,Chinese",Good,57,7.00,10.00,
Mexican Kitchen,"Mexican,International",Good,58,5.00,10.00,
Street Woks,"Asian,Chinese,Thai",Very good,60,7.00,10.00,
Basatta,"Arabic,Shawarma & Doner,Bowls",Good,54,5.00,10.00,
VOX Cinemas,"Snacks ,Hot Dogs,Beverages",Very good,43,9.00,10.00,
Mix It Up,"Sandwiches,Burgers,Fast Food",OK,57,5.00,10.00,
Zafran Pot,"Indian,Desserts,Grills",Good,52,3.00,10.00,
Pizzaro,"Italian,Pizza",Good,50,5.00,10.00,
"Jollibee, Ibn Battuta Mall","Fast Food,Fried Chicken,Burgers",Very good,58,7.00,10.00,
Kris Kros Lebanon,"Lebanese,Sandwiches,Arabic",Very good,45,6.00,0.00,
Seattle Best Coffee,"Breakfast,Cafe",Very good,52,7.00,0.00,
Awani Express,"Lebanese,Sandwiches,Healthy",Very good,57,7.00,10.00,
Qasioun Restaurant,"Arabic,Shawarma & Doner",Very good,57,7.00,10.00,
Al Rifai,"Specialty Store,Roastery",Very good,48,7.00,10.00,
"NKD Pizza, Al Sufouh 2","Italian,Pizza",Good,58,7.00,10.00,
Oompa Loompa,Healthy,Good,51,7.00,10.00,
The Burger Fix,Burgers,OK,52,7.00,10.00,
WingStop,"Wings,American",Very good,49,7.00,10.00,
Medicina Pharmacy,Pharmacy,,57,7.00,10.00,New
Gandofly,"Arabic,Seafood,Egyptian",Good,50,3.00,35.00,
Max All About Chicken,"Fast Food,Grills,International",Very good,56,7.00,10.00,
NESCAFÉ Dolce Gusto,"Specialty Store,Roastery",Very good,56,7.00,10.00,
Aroos Al Bahar Restaurant,Seafood,Good,51,7.00,10.00,
The Masala Club,"Indian,Mandi,Grills",Good,54,5.00,10.00,
Charcoal Garden Restaurant & Cafe,"Arabic,Lebanese,International",Very good,56,7.00,10.00,
"Burger King, Discovery Gardens","American,Burgers,Sandwiches",Good,54,7.00,10.00,
India Kitchen,"Indian,Chinese",Very good,52,5.00,10.00,
Meat Nation,"Grills,Pizza,Sandwiches",Very good,54,5.00,10.00,
This is Hot Dog,"Sandwiches,Burgers,Fast Food",Very good,51,5.00,10.00,
Yakitate,"Japanese,Cafe",Very good,55,7.00,0.00,New
Memories Flower,Flowers,Good,60,Free,250.00,
The Bagel Place,Healthy,Good,54,7.00,10.00,
Chubby Crepes,"Specialty Store,Cakes and Desserts",Good,49,7.00,10.00,
Hatch Chicken,"American,Burgers,Sandwiches",Good,50,7.00,10.00,
"Sagar Ratna , Jumeirah Lakes Towers - JLT","Indian,Vegetarian",Very good,52,5.00,10.00,
"Subway, Dubai Internet City","Healthy,Sandwiches,Breakfast",Very good,50,7.00,10.00,
Zahra's Kitchen,"Salads,Wraps",,53,7.00,10.00,
Foodfight: Multi-Brand Ordering,"Lebanese,Pasta,Fried Chicken",Good,57,7.00,10.00,
CHICK MATE,"Fast Food,Fried Chicken,Sliders",Good,55,Free,10.00,
Proper Sliders,"Sliders,Burgers,Sandwiches",Good,51,7.00,10.00,
Lord of The Wings,"Wings,American,Burgers",Good,57,7.00,10.00,
Maia  California Style Taqueria,Mexican,Good,57,7.00,10.00,
Balqees Honey,"Specialty Store,Cakes and Desserts",,57,7.00,10.00,
Symphony Restaurant by Golden Tulip,"Asian,Indian,Arabic",Good,57,7.00,10.00,
Bello Chicken,"American,Burgers,Fried Chicken",,57,7.00,10.00,
Tikka Talk,"Asian,Chinese",,57,7.00,10.00,New
British Handi - Jumeirah Lakes Towers,"Indian,Asian",OK,53,Free,0.00,
Hen Lin,"Seafood,Asian",,59,9.00,10.00,New
Friend Fries,"American,Burgers",OK,52,5.00,10.00,
Quesadilla Kitchen,"Mexican,Sandwiches",Good,58,5.00,10.00,
"Munchies-House of Popcorn, Desserts & More","Desserts,Snacks ,American",OK,51,7.00,10.00,
Wrapped,"Healthy,Lebanese,Sandwiches",Good,59,7.00,10.00,
"Hola Empanada, Jumeirah Lakes Towers","Mexican,Pizza,Burgers",Good,61,5.00,10.00,
Jory Flowers & Sweets,"Flowers,Chocolate ,Cakes and Desserts",Good,60,5.00,0.00,
Mazah Restaurant,"Lebanese,Sandwiches,International",Very good,59,7.00,10.00,
"Shake Shack, Jumeirah Beach Residence","American,Burgers",Very good,59,7.00,10.00,
Biryani Junction Restaurant,Indian,Good,52,7.00,10.00,
Dubai Keto Desserts,"Specialty Store,Cakes and Desserts",Very good,51,5.00,10.00,New
Double D's,"Pizza,Italian",Very good,70,5.00,10.00,
WINGO – House of Wings,"Wings,Hot Dogs,American",Very good,55,Free,10.00,
Pink Mango Indian Kitchen,"Indian,Grills,Healthy",Very good,58,7.00,10.00,
Crackles,Grocery,,58,9.00,10.00,New
Just Vegan,"Healthy,International",Good,55,9.00,0.00,
Farareejo,"Lebanese,Sandwiches,Fast Food",Very good,61,7.00,10.00,
E-shop by Baskin Robbins,"Specialty Store,Ice Cream,Cakes and Desserts",Very good,50,9.00,0.00,
"Grillo The Healthier Option, Discovery Gardens","American,Grills,Healthy",Very good,57,7.00,10.00,
Hyperama Cafeteria,"Burgers,Pizza,Sandwiches",Good,59,7.00,10.00,
Little Lahore,"Pakistani,Vegetarian,Asian",Good,53,5.00,10.00,
Dream City Cafeteria,"Cafe,Breakfast",Good,54,7.00,10.00,
Healthy and Co,"Healthy,Vegetarian,Salads",Good,55,5.00,10.00,
Ard Jedoudna,"Grills,Lebanese,Arabic",Very good,57,7.00,10.00,
Zaatar w Zeit,"Lebanese,Sandwiches,Healthy",Good,47,7.00,10.00,
"Pizza Man, JLT, Jumeirah Lakes Towers - JLT","Pizza,Fast Food,Italian",Very good,53,5.00,10.00,
Kebab's Crib,"Desserts,Fast Food,Sandwiches",OK,47,7.00,10.00,
Asia Tang,"Asian,Chinese,Thai",Very good,58,7.00,10.00,
Four Square Cafe & Restaurant,"Indian,Lebanese,Arabic",Very good,57,7.00,10.00,New
"Perfetto Acai, Jumeirah Lakes Towers - JLT",Healthy,Good,52,5.00,10.00,
"Krush Burger, Dubai Marina",Burgers,OK,52,7.00,10.00,
Shababeek,"Arabic,Lebanese",OK,51,7.00,10.00,New
"India Palace Restaurant, Jumeirah Beach Residence","Indian,Seafood,Vegetarian",Good,50,7.00,10.00,
Al Rozana,"Arabic,Lebanese",OK,54,7.00,10.00,
Mighty Quinn,"American,Burgers,International",Good,54,7.00,10.00,
"The Pizza Company , Al Barsha 2","Pizza,Italian",OK,45,7.00,0.00,
Tawook Nation,"Grills,Lebanese,Sandwiches",Very good,56,7.00,10.00,
floresta flower,Flowers,OK,60,Free,0.00,
"Farsi Restaurant, Jumeirah Lakes Towers",Iranian,Very good,60,5.00,50.00,
Secret Street Food,"Arabic,Shawarma & Doner",Very good,54,5.00,10.00,
Firas Sweet,"Specialty Store,Bakery",,56,7.00,10.00,New
The Pizza Pie Factory,"Pizza,Italian",Very good,35,5.00,0.00,
Noor Al Mandi,"Mandi,Arabic",Good,25,6.00,50.00,
Bunz - Sliders & More,"Burgers,Fast Food,American",Very good,58,7.00,10.00,
Bhai Kadai Biryani,Indian,Very good,48,7.00,10.00,
"Poke And Co , Jumeirah Lakes Towers","Healthy,Breakfast,Cafe",Very good,40,6.00,0.00,
Dickey's Barbecue Pit,"American,Grills",Very good,47,7.00,10.00,
Yellow Cab Pizza,"Pizza,American,Italian",Very good,50,6.00,0.00,
Dessert Cafe Be.K,"Desserts,Cafe",Amazing,62,7.00,10.00,
"Eat Greek Restaurant, JBR",International,Very good,56,7.00,10.00,
Healthy Chicken Grills,"Healthy,Salads,Grills",OK,51,7.00,10.00,New
GT Burger,"American,Burgers,Hot Dogs",Amazing,56,9.00,10.00,
800Thali,Indian,Good,72,3.00,10.00,
"Cafe Funkie Town, Jumeirah Lakes Towers","Indian,Chinese,Grills",Good,53,5.00,10.00,
QALAAT BAALBAK,"Arabic,Breakfast,Grills",Good,57,7.00,10.00,
"Marbaiya Restaurant & Cafe, Dubai Marina","International,Arabic,Lebanese",Very good,55,9.00,0.00,
TGI Fridays - Ibn Batutta Mall,"American,Burgers,Grills",Very good,58,7.00,10.00,
Cuisine De Malabar,"Indian,Mandi",,65,5.00,10.00,
Mama Franky,"American,Indian,Sandwiches",OK,54,5.00,10.00,
UBK - Urban Bar & Kitchen,"Burgers,Mexican,International",Good,58,5.00,0.00,
Top Salad,"Healthy,Sandwiches,Salads",Good,53,7.00,10.00,
"Broccoli Pizza & Pasta , Jumeirah Lakes Towers , JLT","Desserts,Italian,Pizza,Pasta",Good,53,Free,10.00,
Culinaire Restaurant & Cafe,"Indian,Cafe,Chinese",Amazing,59,7.00,10.00,
By The Chick,"American,Fast Food",,59,7.00,10.00,
"Noodle Express, Sheikh Zayed Road","Chinese,Asian",Good,60,5.00,50.00,
Pappa Pizza,"Italian,Pizza,International",OK,52,5.00,10.00,
KARMA SHAWARMA,"Fast Food,Shawarma & Doner",Good,56,Free,10.00,
Bebo's Bowls,"Indian,Bowls,Healthy",Very good,55,7.00,10.00,
Costa Coffee at Home,"Specialty Store,Roastery",,57,7.00,0.00,
Tim Hortons Home Favorites,"Specialty Store,Roastery",Good,57,7.00,10.00,
Seven Seeds,"Breakfast,Healthy,International",,55,7.00,10.00,
SLIDER RYDER – Mini Burgers,"Sliders,American,Burgers",Good,56,Free,0.00,
"Biryani Pot, Jumeirah","Indian,Pakistani,International",Very good,60,6.00,30.00,
Healthy Dose,"Healthy,Breakfast,Desserts",,67,5.00,10.00,
The Butcher Shop & Grill,"Grills,International,Burgers",Very good,62,7.00,10.00,
Shami Gourmet,"Arabic,Lebanese,Sandwiches",Good,53,5.00,10.00,
"Lokmet Gibran, Jumeirah Lakes Tower","Lebanese,Sandwiches,Arabic",Very good,53,3.00,10.00,
Caffe Nero,"Cafe,Desserts,Beverages",Good,55,7.00,10.00,
House Of Noodles,"Chinese,Asian",Very good,56,9.00,10.00,
Beirut Bites,"Arabic,Breakfast,Lebanese",Very good,55,3.00,10.00,
"Le Pain Quotidien, Dubai Marina,","Breakfast,Desserts,Sandwiches",Very good,57,7.00,10.00,
THE KITCHEN EATERY,"Italian,Pasta,Healthy",Good,51,7.00,10.00,
Yo Sushi,"Japanese,Asian,Healthy",OK,53,5.00,10.00,
Catch 22,"Burgers,Seafood,International",Very good,55,9.00,0.00,
Num Nom Sweet,Desserts,,53,9.00,10.00,
Un Dimanche à Paris,"Breakfast,Sandwiches",,53,9.00,10.00,
Eggiterian Cafe,"Breakfast,Cafe,International",,53,9.00,10.00,New
Boost,"Desserts,Healthy,Vegetarian",Amazing,53,5.00,10.00,
SushiDo,"Asian,Japanese,Seafood",Good,55,Free,10.00,
Carluccios Restaurant & Cafe,"Italian,Pizza,Breakfast",Good,60,7.00,10.00,
Sultan Baba Express,"Sandwiches,Turkish,Shawarma & Doner",OK,56,7.00,10.00,
Qedreh W Mansaf,"Arabic,Lebanese",Very good,60,6.00,80.00,
"Shakey`s Pizza Parlor, Al Barsha 1","Pizza,American",Very good,66,7.00,10.00,
Fabulous Falafels,"Arabic,Shawarma & Doner",Good,56,5.00,10.00,
Hyderabad Fusion Restaurant,"Indian,Grills,Healthy",Very good,56,9.00,10.00,
Yalla Momos,"Asian,Chinese,Indian",,72,5.00,10.00,
Ovenstory Pizza,"Pizza,Fast Food,Italian",Good,60,7.00,10.00,
"Barsalata Salads & Healthy Bites, Al Sufouh 2","Healthy,Sandwiches,Salads",Good,56,7.00,10.00,
"Miyabi Sushi & Bento, Dubai Media City","Japanese,Vegetarian,Healthy",Very good,60,7.00,10.00,
GORILLA BURGER,"Burgers,Fast Food",Good,56,Free,10.00,
"Baskin Robbins, Ibn Batutta Mall","Desserts,Cakes and Desserts",Very good,51,7.00,10.00,
"Subway, Jebel Ali","Healthy,Sandwiches,Breakfast",Very good,50,7.00,10.00,
Famous Dave's,"American,Burgers",Good,64,7.00,10.00,
First Cup Sahara Restaurant & Cafe,Arabic,Good,55,7.00,10.00,
Kahve Dunyasi,"Turkish,Beverages,Sandwiches",OK,55,7.00,10.00,
Joker Pizza,"Pizza,Italian",Good,59,7.00,10.00,
Acai Art,"Beverages,Healthy",OK,53,7.00,10.00,
DABANG Kathi and Curry,"Indian,Sandwiches,Asian",Good,51,7.00,10.00,
"Bombay Chowpatty, Ibn Batutta Mall","Asian,Desserts,Indian",Very good,54,7.00,10.00,
"Weirdough , Dubai Media City","Pizza,Asian,Indian",Very good,60,7.00,10.00,
EETEN,"Burgers,Sandwiches,Salads",Good,60,7.00,10.00,
"Shake Shack, Al Sufouh 2","American,Burgers",Good,50,7.00,10.00,
Zaroob Restaurant,"Lebanese,Arabic,Shawarma & Doner",Good,50,7.00,10.00,
Kimura-Ya,"Japanese,Seafood",Good,63,7.00,10.00,
"Sumo Sushi & Bento, Jebel Ali 1 (Festival Plaza)","Healthy,Japanese,Asian",Very good,61,7.00,10.00,
Al Merkaaz,"Arabic,Lebanese",Good,55,5.00,10.00,
Charm Thai Restaurant,"Thai,Asian",Good,56,7.00,10.00,
Kaake,"Arabic,Lebanese",Good,56,7.00,10.00,
"Poke Poke, Dubai Marina","Healthy,Seafood",Very good,50,7.00,10.00,
Zutto Suki Ramen Restaurant,"Asian,Snacks ,Japanese",,56,7.00,10.00,New
"Malak Al Tawouk, Al Barsha 3","Burgers,Lebanese,Sandwiches",Very good,55,9.00,10.00,
Sougha Perfumes,Specialty Store,,56,7.00,10.00,
This is Burger - Home Of Real Cheeseburgers,"American,Burgers,International",,71,3.00,10.00,
Bosporus,Turkish,Very good,54,7.00,10.00,
"Sushi Counter Restaurant, Dubai Media City",Japanese,Very good,53,7.00,10.00,
"Circle, Jumeirah Islands","Breakfast,Healthy,Sandwiches",Good,53,7.00,10.00,
"India Palace Restaurant, Ibn Batutta Mall tmp","Indian,Seafood,Vegetarian",Good,55,5.00,50.00,
Yo Poke,"Japanese,Asian,Healthy",OK,52,7.00,10.00,
Beirut Wraps,"Lebanese,Sandwiches,Arabic",OK,56,5.00,10.00,
DAYMA,"Lebanese,Grills",Good,53,7.00,10.00,
Atlantic Fish and Chips,Seafood,Good,62,7.00,10.00,
Falafel Karim Sahyoun,"Breakfast,Lebanese,Vegetarian",OK,62,5.00,10.00,
London Slide,"Burgers,Grills",Good,66,7.00,10.00,
Nando's Restaurant,"Grills,Healthy,International",Good,53,7.00,10.00,
"Shakespeare and Co. , Jebel Ali 1","International,American,Cafe",Very good,55,5.00,10.00,
PROJECT P,"Italian,Pizza",Very good,63,7.00,10.00,
Shazoma Shawarma,"Shawarma & Doner,Lebanese,Arabic",Good,50,7.00,10.00,
"Perfetto Acai, Dubai Marina",Healthy,Good,51,7.00,10.00,
Roxy Cinemas,"Burgers,Snacks ",Good,56,7.00,10.00,
"Papa Murphy's Pizza, Jumeirah Lakes Towers","American,Pizza",Good,52,7.00,10.00,
Viva Pharmacy,Pharmacy,,55,9.00,10.00,New
Holy Hummus,"Arabic,Sandwiches",OK,53,7.00,10.00,
"Pret To Go, Dubai Marinaa","Healthy,Sandwiches,Salads",Very good,64,7.00,10.00,
Shogun Restaurant,"Asian,Japanese,International",Very good,58,7.00,10.00,
BLK Cab Coffee,"Cafe,Pizza",OK,55,9.00,0.00,
"Hatam Restaurant, Jumeirah","Iranian,Arabic",Good,60,7.00,0.00,
Vigilante Mexican Food,"Mexican,Bowls,Healthy",Good,54,7.00,10.00,
Melt And Roast,"Chinese,Grills,Indian",,57,7.00,10.00,
Ostro,"Healthy,International,Cafe",Good,57,7.00,10.00,
Jabal Alarz,"Arabic,Grills,Lebanese",Good,55,5.00,10.00,
Al Safeer Restaurant,"Arabic,Lebanese,Sandwiches",Good,63,7.00,10.00,
"312 , Al Sufouh 1","Burgers,Sandwiches,American",Very good,55,9.00,10.00,
California Pizza Kitchen,"Pizza,American,Italian",OK,54,7.00,10.00,
ART OF DUM,"Indian,Grills",Very good,60,5.00,10.00,
Curry Processing Unit CPU,"Asian,Healthy,Indian",Very good,61,7.00,10.00,
